Mes,tourist info barcelona: (Arreu del món)
2010-01,0
2010-02,0
2010-03,0
2010-04,40
2010-05,0
2010-06,41
2010-07,38
2010-08,0
2010-09,0
2010-10,100
2010-11,0
2010-12,0
2011-01,0
2011-02,63
2011-03,28
2011-04,0
2011-05,0
2011-06,29
2011-07,29
2011-08,27
2011-09,0
2011-10,76
2011-11,25
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,47
2012-05,22
2012-06,0
2012-07,23
2012-08,0
2012-09,0
2012-10,0
2012-11,41
2012-12,0
2013-01,37
2013-02,0
2013-03,18
2013-04,0
2013-05,18
2013-06,0
2013-07,18
2013-08,0
2013-09,0
2013-10,17
2013-11,0
2013-12,0
2014-01,16
2014-02,17
2014-03,16
2014-04,16
2014-05,16
2014-06,18
2014-07,0
2014-08,18
2014-09,34
2014-10,0
2014-11,33
2014-12,0
2015-01,0
2015-02,0
2015-03,15
2015-04,31
2015-05,0
2015-06,0
2015-07,0
2015-08,29
2015-09,0
2015-10,14
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,14
2016-06,15
2016-07,15
2016-08,16
2016-09,0
2016-10,29
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,14
2017-06,43
2017-07,0
2017-08,14
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,12
2018-04,26
2018-05,25
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,36
2019-02,0
2019-03,0
2019-04,13
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,34
2019-11,0
2019-12,0
2020-01,11
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,0
2020-10,0
2020-11,0
2020-12,0
