Mes,barcelona: (Arreu del món)
2010-01,38
2010-02,40
2010-03,47
2010-04,55
2010-05,46
2010-06,41
2010-07,43
2010-08,41
2010-09,41
2010-10,37
2010-11,40
2010-12,34
2011-01,37
2011-02,42
2011-03,42
2011-04,48
2011-05,49
2011-06,41
2011-07,44
2011-08,43
2011-09,41
2011-10,36
2011-11,33
2011-12,36
2012-01,38
2012-02,37
2012-03,40
2012-04,52
2012-05,38
2012-06,34
2012-07,38
2012-08,38
2012-09,38
2012-10,35
2012-11,30
2012-12,27
2013-01,33
2013-02,37
2013-03,40
2013-04,44
2013-05,44
2013-06,39
2013-07,41
2013-08,40
2013-09,36
2013-10,36
2013-11,29
2013-12,26
2014-01,32
2014-02,38
2014-03,39
2014-04,42
2014-05,39
2014-06,36
2014-07,43
2014-08,41
2014-09,36
2014-10,36
2014-11,31
2014-12,29
2015-01,34
2015-02,37
2015-03,43
2015-04,43
2015-05,56
2015-06,43
2015-07,41
2015-08,45
2015-09,41
2015-10,37
2015-11,37
2015-12,36
2016-01,41
2016-02,49
2016-03,44
2016-04,58
2016-05,51
2016-06,38
2016-07,42
2016-08,44
2016-09,45
2016-10,44
2016-11,41
2016-12,37
2017-01,44
2017-02,46
2017-03,53
2017-04,66
2017-05,50
2017-06,45
2017-07,51
2017-08,100
2017-09,51
2017-10,47
2017-11,37
2017-12,38
2018-01,54
2018-02,57
2018-03,55
2018-04,73
2018-05,53
2018-06,40
2018-07,47
2018-08,57
2018-09,55
2018-10,54
2018-11,47
2018-12,43
2019-01,54
2019-02,63
2019-03,58
2019-04,74
2019-05,88
2019-06,46
2019-07,54
2019-08,64
2019-09,57
2019-10,78
2019-11,64
2019-12,64
2020-01,65
2020-02,66
2020-03,37
2020-04,14
2020-05,17
2020-06,52
2020-07,52
2020-08,65
2020-09,50
2020-10,58
2020-11,36
2020-12,60
