Mes,city trip barcelona: (Arreu del món)
2010-01,22
2010-02,71
2010-03,42
2010-04,22
2010-05,22
2010-06,22
2010-07,41
2010-08,20
2010-09,58
2010-10,55
2010-11,18
2010-12,36
2011-01,100
2011-02,35
2011-03,47
2011-04,17
2011-05,46
2011-06,16
2011-07,0
2011-08,30
2011-09,15
2011-10,28
2011-11,42
2011-12,14
2012-01,13
2012-02,40
2012-03,12
2012-04,0
2012-05,37
2012-06,12
2012-07,12
2012-08,12
2012-09,12
2012-10,22
2012-11,22
2012-12,11
2013-01,10
2013-02,22
2013-03,30
2013-04,0
2013-05,20
2013-06,20
2013-07,10
2013-08,0
2013-09,19
2013-10,9
2013-11,37
2013-12,0
2014-01,34
2014-02,29
2014-03,34
2014-04,18
2014-05,35
2014-06,20
2014-07,10
2014-08,0
2014-09,56
2014-10,18
2014-11,36
2014-12,18
2015-01,17
2015-02,9
2015-03,33
2015-04,51
2015-05,16
2015-06,42
2015-07,25
2015-08,24
2015-09,24
2015-10,15
2015-11,8
2015-12,8
2016-01,24
2016-02,8
2016-03,16
2016-04,32
2016-05,8
2016-06,16
2016-07,8
2016-08,9
2016-09,17
2016-10,32
2016-11,8
2016-12,8
2017-01,22
2017-02,48
2017-03,42
2017-04,15
2017-05,7
2017-06,16
2017-07,8
2017-08,7
2017-09,15
2017-10,7
2017-11,7
2017-12,0
2018-01,21
2018-02,8
2018-03,34
2018-04,14
2018-05,21
2018-06,14
2018-07,28
2018-08,20
2018-09,49
2018-10,13
2018-11,28
2018-12,28
2019-01,0
2019-02,44
2019-03,53
2019-04,49
2019-05,33
2019-06,14
2019-07,20
2019-08,47
2019-09,33
2019-10,19
2019-11,13
2019-12,0
2020-01,18
2020-02,19
2020-03,11
2020-04,6
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,0
2020-10,0
2020-11,6
2020-12,6
