Mes,flight barcelona: (Arreu del món)
2010-01,32
2010-02,34
2010-03,44
2010-04,49
2010-05,54
2010-06,45
2010-07,52
2010-08,39
2010-09,37
2010-10,33
2010-11,26
2010-12,30
2011-01,36
2011-02,40
2011-03,30
2011-04,41
2011-05,42
2011-06,44
2011-07,41
2011-08,41
2011-09,35
2011-10,29
2011-11,24
2011-12,17
2012-01,34
2012-02,38
2012-03,33
2012-04,45
2012-05,38
2012-06,44
2012-07,53
2012-08,43
2012-09,37
2012-10,35
2012-11,26
2012-12,22
2013-01,38
2013-02,38
2013-03,40
2013-04,45
2013-05,41
2013-06,48
2013-07,45
2013-08,35
2013-09,35
2013-10,33
2013-11,26
2013-12,23
2014-01,34
2014-02,39
2014-03,41
2014-04,42
2014-05,53
2014-06,60
2014-07,60
2014-08,54
2014-09,48
2014-10,41
2014-11,29
2014-12,29
2015-01,41
2015-02,42
2015-03,58
2015-04,50
2015-05,59
2015-06,67
2015-07,69
2015-08,61
2015-09,55
2015-10,50
2015-11,39
2015-12,38
2016-01,47
2016-02,53
2016-03,65
2016-04,64
2016-05,68
2016-06,85
2016-07,76
2016-08,70
2016-09,65
2016-10,54
2016-11,52
2016-12,42
2017-01,64
2017-02,60
2017-03,72
2017-04,70
2017-05,75
2017-06,88
2017-07,97
2017-08,81
2017-09,76
2017-10,60
2017-11,46
2017-12,50
2018-01,72
2018-02,70
2018-03,78
2018-04,77
2018-05,88
2018-06,86
2018-07,99
2018-08,94
2018-09,80
2018-10,68
2018-11,61
2018-12,58
2019-01,80
2019-02,72
2019-03,80
2019-04,82
2019-05,93
2019-06,99
2019-07,100
2019-08,95
2019-09,92
2019-10,81
2019-11,63
2019-12,66
2020-01,79
2020-02,72
2020-03,44
2020-04,11
2020-05,14
2020-06,15
2020-07,21
2020-08,14
2020-09,15
2020-10,11
2020-11,10
2020-12,13
