Mes,hotel barcelona: (Arreu del món)
2010-01,81
2010-02,99
2010-03,100
2010-04,99
2010-05,96
2010-06,98
2010-07,100
2010-08,94
2010-09,92
2010-10,81
2010-11,71
2010-12,57
2011-01,82
2011-02,82
2011-03,88
2011-04,84
2011-05,91
2011-06,85
2011-07,93
2011-08,79
2011-09,80
2011-10,64
2011-11,55
2011-12,47
2012-01,65
2012-02,75
2012-03,75
2012-04,77
2012-05,77
2012-06,72
2012-07,77
2012-08,71
2012-09,69
2012-10,55
2012-11,47
2012-12,39
2013-01,57
2013-02,63
2013-03,72
2013-04,70
2013-05,70
2013-06,71
2013-07,75
2013-08,66
2013-09,69
2013-10,57
2013-11,46
2013-12,39
2014-01,55
2014-02,63
2014-03,64
2014-04,67
2014-05,66
2014-06,63
2014-07,70
2014-08,66
2014-09,59
2014-10,50
2014-11,45
2014-12,38
2015-01,51
2015-02,57
2015-03,62
2015-04,63
2015-05,66
2015-06,66
2015-07,68
2015-08,62
2015-09,58
2015-10,53
2015-11,43
2015-12,37
2016-01,58
2016-02,59
2016-03,61
2016-04,61
2016-05,66
2016-06,64
2016-07,66
2016-08,60
2016-09,59
2016-10,51
2016-11,44
2016-12,39
2017-01,58
2017-02,56
2017-03,65
2017-04,63
2017-05,67
2017-06,65
2017-07,68
2017-08,60
2017-09,51
2017-10,44
2017-11,35
2017-12,32
2018-01,51
2018-02,56
2018-03,58
2018-04,55
2018-05,56
2018-06,56
2018-07,60
2018-08,57
2018-09,50
2018-10,47
2018-11,42
2018-12,39
2019-01,50
2019-02,53
2019-03,50
2019-04,56
2019-05,54
2019-06,55
2019-07,61
2019-08,54
2019-09,53
2019-10,48
2019-11,40
2019-12,42
2020-01,53
2020-02,50
2020-03,22
2020-04,9
2020-05,11
2020-06,17
2020-07,22
2020-08,18
2020-09,15
2020-10,16
2020-11,13
2020-12,14
