Mes,train barcelona: (Arreu del món)
2010-01,49
2010-02,52
2010-03,44
2010-04,100
2010-05,59
2010-06,82
2010-07,73
2010-08,56
2010-09,48
2010-10,41
2010-11,31
2010-12,26
2011-01,44
2011-02,37
2011-03,50
2011-04,48
2011-05,50
2011-06,68
2011-07,66
2011-08,55
2011-09,43
2011-10,35
2011-11,30
2011-12,29
2012-01,44
2012-02,54
2012-03,48
2012-04,55
2012-05,71
2012-06,69
2012-07,72
2012-08,49
2012-09,65
2012-10,39
2012-11,28
2012-12,29
2013-01,39
2013-02,55
2013-03,47
2013-04,59
2013-05,62
2013-06,70
2013-07,66
2013-08,61
2013-09,49
2013-10,45
2013-11,34
2013-12,36
2014-01,47
2014-02,53
2014-03,60
2014-04,64
2014-05,61
2014-06,77
2014-07,80
2014-08,74
2014-09,58
2014-10,50
2014-11,34
2014-12,31
2015-01,51
2015-02,52
2015-03,61
2015-04,70
2015-05,73
2015-06,78
2015-07,80
2015-08,70
2015-09,54
2015-10,49
2015-11,40
2015-12,34
2016-01,50
2016-02,51
2016-03,54
2016-04,65
2016-05,64
2016-06,78
2016-07,78
2016-08,62
2016-09,61
2016-10,48
2016-11,35
2016-12,33
2017-01,52
2017-02,62
2017-03,60
2017-04,70
2017-05,81
2017-06,86
2017-07,95
2017-08,74
2017-09,67
2017-10,46
2017-11,39
2017-12,34
2018-01,54
2018-02,61
2018-03,64
2018-04,73
2018-05,72
2018-06,76
2018-07,93
2018-08,70
2018-09,63
2018-10,52
2018-11,46
2018-12,39
2019-01,55
2019-02,57
2019-03,65
2019-04,71
2019-05,87
2019-06,83
2019-07,94
2019-08,77
2019-09,68
2019-10,54
2019-11,44
2019-12,44
2020-01,59
2020-02,57
2020-03,26
2020-04,21
2020-05,21
2020-06,23
2020-07,28
2020-08,22
2020-09,20
2020-10,7
2020-11,7
2020-12,9
